Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
1-Sep-19,8.82,8.89,8.69,8.8,"202,957,135","620,552,317",8.79,0.001374009,"9,689.85"
31-Aug-19,8.76,8.9,8.63,8.82,"216,947,467","622,362,487",8.765,0.001290126,"9,602.51"
30-Aug-19,8.77,8.92,8.69,8.76,"214,238,128","618,155,575",8.805,0.001070418,"9,542.21"
29-Aug-19,9.15,9.15,8.57,8.77,"250,243,082","618,942,710",8.86,0.002597414,"9,589.21"
28-Aug-19,9.59,9.63,9.06,9.15,"261,538,515","645,085,931",9.345,0.001440412,"9,998.02"
27-Aug-19,9.84,9.86,9.51,9.59,"229,267,697","676,288,070",9.685,0.001426956,"10,234.32"
26-Aug-19,9.65,9.91,9.65,9.85,"247,179,371","694,491,756",9.78,0.00246034,"10,319.32"
25-Aug-19,10.13,10.14,9.51,9.66,"238,063,246","681,634,894",9.825,0.002433301,"10,156.71"
24-Aug-19,9.91,10.28,9.67,10.13,"262,868,658","714,215,772",9.975,0.001224161,"10,200.16"
23-Aug-19,9.82,10.05,9.7,9.91,"244,227,518","698,942,894",9.875,0.001117991,"10,260.32"
22-Aug-19,9.42,9.9,9.26,9.82,"279,677,040","692,844,510",9.58,0.001505787,"10,032.23"
21-Aug-19,9.91,9.93,9.24,9.42,"272,825,976","664,677,177",9.585,0.002728445,"10,380.73"
20-Aug-19,10.15,10.17,9.77,9.9,"237,645,792","698,240,395",9.97,0.001483016,"10,783.00"
19-Aug-19,9.88,10.17,9.84,10.17,"239,845,356","717,054,208",10.005,0.001381757,"10,614.63"
18-Aug-19,9.67,10.06,9.57,9.88,"232,179,408","696,953,952",9.815,0.00099727,"10,303.08"
17-Aug-19,9.84,9.87,9.53,9.68,"231,786,463","682,891,038",9.7,0.00266222,"10,269.66"
16-Aug-19,9.92,10.03,9.52,9.84,"282,250,238","694,049,270",9.775,0.001503062,"10,189.92"
15-Aug-19,9.39,10,9.2,9.92,"308,542,813","699,682,212",9.6,0.00089272,"10,056.37"
14-Aug-19,10.47,10.47,9.36,9.38,"268,690,818","661,676,695",9.915,0.001567917,"10,458.85"
13-Aug-19,10.69,10.71,10.27,10.49,"218,432,095","739,752,458",10.49,0.002695213,"11,125.19"
12-Aug-19,11.08,11.08,10.66,10.69,"215,249,968","754,208,651",10.87,0.001948734,"11,424.57"
11-Aug-19,10.61,11.1,10.6,11.09,"249,570,405","782,180,246",10.85,0.00262653,"11,385.94"
10-Aug-19,10.39,11.15,10.36,10.6,"307,415,114","748,030,850",10.755,0.002931356,"11,619.78"
9-Aug-19,10.87,10.88,10.24,10.39,"269,599,467","732,956,903",10.56,0.002099587,"11,840.11"
8-Aug-19,11.32,11.34,10.6,10.87,"275,502,109","766,932,216",10.97,0.000991549,"11,767.80"
7-Aug-19,11.34,11.56,11.16,11.32,"271,679,897","798,655,075",11.36,0.00075932,"11,735.35"
6-Aug-19,12.08,12.66,11.17,11.33,"306,890,935","799,497,447",11.915,0.002278782,"11,782.28"
5-Aug-19,11.93,12.66,11.93,12.07,"351,665,015","851,384,115",12.295,0.00358055,"11,427.92"
